"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"868","1154500000","68","서울특별시","금천구","금천고등학교 운동장","1154510300","1154569000","서울특별시 금천구 시흥대로38길 26(시흥동)","1967","126.905853","37.444908","191668.896247","538393.820104"
"869","1150000000","123","서울특별시","강서구","영등포공업고등학교 운동장","1150010400","1150060400","서울특별시 강서구 허준로5길 15(가양동)","3168","126.850288","37.569368","186773.899132","552213.690645"
"870","1171000000","48","서울특별시","송파구","풍성중학교 운동장","1171010300","1171052000","서울특별시 송파구 강동대로2길 27(풍납동)","7260","127.112466","37.525342","209941.457368","547322.740900"
"871","1171000000","56","서울특별시","송파구","세륜중학교 운동장","1171011200","1171057000","서울특별시 송파구 양재대로72길 41(오금동)","2558","127.131453","37.508475","211622.490236","545452.843734"
"872","1150000000","131","서울특별시","강서구","마곡하늬공원","1150010500","1150062000","서울특별시 강서구 마곡서로 13(마곡동)","20078","126.821113","37.556839","184193.848948","550827.555615"
"873","1171000000","49","서울특별시","송파구","영파여자고등학교 운동장","1171010300","1171052000","서울특별시 송파구 올림픽로 565(풍납동)","5385","127.120353","37.532524","210637.629957","548120.645809"
"874","1171000000","58","서울특별시","송파구","오주중학교 운동장","1171011200","1171057000","서울특별시 송파구 동남로 281(오금동)","5160","127.136212","37.501042","212044.433743","544628.481539"
"875","1171000000","61","서울특별시","송파구","오금중학교 운동장","1171011200","1171057000","서울특별시 송파구 오금로35길 20(오금동)","8171","127.128366","37.504940","211350.086629","545060.104015"
"876","1171000000","41","서울특별시","송파구","버들초등학교 운동장","1171010100","1171068000","서울특별시 송파구 석촌호수로 81(잠실동)","960","127.089005","37.510045","207869.289304","545622.705103"
"877","1171000000","42","서울특별시","송파구","신천초등학교 운동장","1171010100","1171068000","서울특별시 송파구 올림픽로 215(잠실동)","5750","127.095159","37.513582","208412.927216","546015.790519"
"878","1171000000","51","서울특별시","송파구","방산중학교 운동장","1171011100","1171056100","서울특별시 송파구 오금로29길 31(방이동)","6510","127.121651","37.508927","210755.736098","545501.858543"
"879","1171000000","47","서울특별시","송파구","풍납중학교 운동장","1171010300","1171052000","서울특별시 송파구 올림픽로43길 20(풍납동)","4070","127.116303","37.525305","210280.672705","547319.028278"
"880","1171000000","46","서울특별시","송파구","아주초등학교 운동장","1171010100","1171072000","서울특별시 송파구 올림픽로4길 59(잠실동)","6938","127.075559","37.505524","206680.846801","545119.882593"
"881","1171000000","50","서울특별시","송파구","거원중학교 운동장","1171011300","1171053200","서울특별시 송파구 양산로2길 30(거여동)","5142","127.146167","37.487676","212926.999432","543146.349596"
"882","1150000000","117","서울특별시","강서구","필마공원","1150010300","1150054000","서울특별시 강서구 화곡동 355-12","1056","126.838856","37.531527","185756.762081","548015.420859"
